"Reference","Value","Datasheet","Footprint","Qty","DNP"
"4S1","14.8V / 3700mAh","~","","1",""
"AMSRL1-7805JZ1,J2,µC-ESP32","~","","-- mixed values --","3",""
"C1,C3,C6,C13,C33,C62,C63,C64","10µF","~","-- mixed values --","8",""
"C2,C4,C5,C14,C19,C20,C25,C26,C28,C38,C40,C59,C66,C67","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","14",""
"C7,C8,C15,C16","470nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","4",""
"C9,C10","2.2nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C11,C12,C29,C30","2.2µF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","4",""
"C17,C23","18nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C18,C24","22nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C21,C22","5.6nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C27","47µF","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"C31,C32,C39,C46,C47,C52,C53,C58","1nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","8",""
"C34,C35,C36","1µF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3",""
"C37,C48,C49,C54,C55","10nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","5",""
"C41,C60","220µF","~","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","2",""
"C42,C43,C56,C57","220nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","4",""
"C44,C45,C50,C51","680nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","4",""
"C61","22µF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C65","4.7µF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"IC1","PCM5102APWR","https://componentsearchengine.com/Datasheets/2/PCM5102APWR.pdf","Dip:SOP65P640X120-20N","1",""
"IC2","TDA7439DS13TR","https://www.st.com/resource/en/datasheet/tda7439ds.pdf","Dip:SOIC127P1032X265-28N","1",""
"IC3","TPA3129D2DAP","http://www.ti.com/lit/gpn/tpa3129d2","Dip:SOP65P810X120-33N","1",""
"J4","Screw_Terminal_01x04","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal","1",""
"L1,L2,L3,L4,L5","10µH","~","-- mixed values --","5",""
"L6","12µH","~","","1",""
"LS1,RS1","8Ω","~","","2",""
"PS1","R-78E9.0-0.5","https://www.recom-power.com/pdf/Innoline/R-78Exx-0.5.pdf","R78E1205","1",""
"R1,R2,R13,R14","470Ω","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4",""
"R3","4.7kΩ","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R4,R5,R17,R18","10kΩ","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4",""
"R6","1MΩ","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R7,R8","5.1kΩ 1%","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R9,R11","2.7kΩ","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R10,R12","5.6kΩ","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R15,R16","100Ω","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R19","33Ω","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R20,R21,R22,R23","3.3Ω","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4",""
"RV1","120kΩ","~","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal","1",""
"RV2","100kΩ","~","","1",""
"TP1","MUTE","~","Connector_Pin:Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork","1",""
